,bad_words_score,Lengths,Sentiment,score_array,polarity,subjectivity
445,0,13,0.0,0.0,0.0,0.0
446,0,21,0.0,0.0,0.0,0.0
447,0,17,0.0,0.0,0.0,0.0
448,0,20,22.0,22.0,0.17500000000000002,0.45
449,0,33,10.222222222222223,10.222222222222223,0.06666666666666667,0.35555555555555557
450,0,21,-25.0,-25.0,-0.3,0.5
451,200,34,2.555555555555556,202.55555555555554,-0.011111111111111112,0.3666666666666667
452,200,18,40.5,240.5,0.35,0.55
453,0,42,55.58333333333333,55.58333333333333,0.4833333333333333,0.725
454,0,11,0.0,0.0,0.0,0.0
455,0,24,0.0,0.0,0.0,0.0
456,0,22,30.0,30.0,0.25,0.5
457,200,29,45.5,245.5,0.4,0.55
458,200,19,0.0,200.0,0.0,0.0
459,0,23,-4.375,-4.375,-0.0625,0.1875
460,0,11,0.0,0.0,0.0,0.0
461,200,32,32.5,232.5,0.25,0.75
462,0,24,10.416666666666671,10.416666666666671,0.02500000000000005,0.7916666666666666
463,0,19,41.75,41.75,0.33749999999999997,0.7999999999999999
464,0,15,0.0,0.0,0.0,0.0
465,0,10,0.0,0.0,0.0,0.0
466,0,23,-12.66666666666667,-12.66666666666667,-0.15555555555555559,0.2888888888888889
467,0,24,0.0,0.0,0.0,0.0
468,0,22,-16.555555555555557,-16.555555555555557,-0.19444444444444448,0.2888888888888889
469,0,17,10.0,10.0,0.0,1.0
470,0,10,0.0,0.0,0.0,0.0
471,200,19,0.0,200.0,0.0,0.0
472,0,20,-3.8888888888888893,-3.8888888888888893,-0.051851851851851864,0.12962962962962965
473,0,16,0.0,0.0,0.0,0.0
474,0,20,25.0,25.0,0.2,0.5
475,200,24,-13.75,186.25,-0.1875,0.5
476,0,29,58.50000000000001,58.50000000000001,0.48750000000000004,0.9750000000000001
477,0,15,0.0,0.0,0.0,0.0
478,0,16,0.0,0.0,0.0,0.0
479,0,25,14.166666666666666,14.166666666666666,0.125,0.16666666666666666
480,0,15,44.0,44.0,0.4,0.4
481,0,18,23.0,23.0,0.2,0.3
482,0,20,55.0,55.0,0.5,0.5
